"Nom";"Ligne";"Colonne";"Nom du vin";"Millésime";"IdVin"
"Frigo ";1;1;"";;""
"Frigo ";1;2;"";;""
"Frigo ";1;3;"";;""
"Frigo ";1;4;"";;""
"La Sommeličre";1;1;"Dopff & Irion Alsace Pinot Gris Château de Riquewihr Les Marquisards";2022;"7e758c9a-a1c8-45e6-95c2-15627ca0de41"
"La Sommeličre";1;2;"";;""
"La Sommeličre";1;3;"";;""
"La Sommeličre";2;1;"Château De Marsan";2021;"1e543a33-5584-4c2d-9732-0e44b1811e21"
"La Sommeličre";2;2;"Le Rosé de Mouton Cadet";2011;"058680d3-42b3-4dc6-8359-ecfd4d43b8c4"
"La Sommeličre";2;3;"Beni di Batasiolo Barolo";2021;"7a69db2f-08d3-46f0-8193-0b79023e8071"
"La Sommeličre";3;1;"Domaine De La Tour Chardonnay Pays D'oc";2023;"80d3935d-be2c-4597-b6ad-ade130b2f12a"
"La Sommeličre";3;2;"Signé Bourgogne Bourgogne Chardonnay";2024;"30c7dd61-7dac-4862-97fc-b712ca766065"
"La Sommeličre";3;3;"Beni di Batasiolo Barbaresco";2021;"6d45348b-1a11-430a-81d0-7a8a4d7122ea"
"La Sommeličre";4;1;"Chantet Blanet Saint-Émilion";2001;"504f85ac"
"La Sommeličre";4;2;"Château Pradeau Mazeau Bordeaux";1999;"827fb118"
"La Sommeličre";4;3;"Château Calon-Ségur La Chapelle de Calon Saint-Estčphe";1998;"36acaa7a"
"La Sommeličre";5;1;"Saint Veran Les Cras";2021;"36a069c0-178e-4ae9-b48a-98bd6a06c46b"
"La Sommeličre";5;2;"Dumnacus Anjou";2022;"d1c2a4d8-25cc-451d-8713-ed4d5afa498b"
"La Sommeličre";5;3;"Château Tour des Gendres Cuvée des Conti";2007;"d214f7eb"
"La Sommeličre";6;1;"Mouton Cadet Réserve Sauternes";2008;"f839e83d"
"La Sommeličre";6;2;"Borie Manoux Blanche Couronne Sauternes";1995;"b814d875"
"La Sommeličre";6;3;"Château du Bailly Monbazillac";1995;"7e1b6dbf"
"Ma cave a vin";1;A;"Domaine de L'Argenteille Terrasses du Larzac Garric";2018;"e0178a47-34da-4897-b9ef-a05a3d9d1c8d"
"Ma cave a vin";1;B;"";;""
"Ma cave a vin";1;C;"";;""
"Ma cave a vin";1;D;"";;""
"Ma cave a vin";1;E;"";;""
"Ma cave a vin";1;F;"";;""
"Ma cave a vin";1;G;"";;""
"Ma cave a vin";1;H;"";;""
"Ma cave a vin";1;I;"";;""
"Ma cave a vin";1;J;"";;""
"Ma cave a vin";2;A;"La Croix de Pez";2017;"b331b369-f30b-4646-886f-4a7657f45e4b"
"Ma cave a vin";2;B;"Ghislain Kohut Fixin";2023;"d2f1a669-a997-4400-9a8c-2cfe01b469ab"
"Ma cave a vin";2;C;"Margaux Marquis de Mons";2016;"e3eb7d95-17cc-4b64-bf85-91ce0167954d"
"Ma cave a vin";2;D;"Château Côtes de Bonde";2019;"845abedb-dbd1-44b3-8f72-bb8c0d70a127"
"Ma cave a vin";2;E;"Mouton Cadet La Bergerie";2022;"d6ec3872-4c3b-4be1-a8bf-74c979196281"
"Ma cave a vin";2;F;"Chateau Roberperots Cubee Olivia";2020;"d08b4ac7-f0da-4e4a-b941-0fcacba3ac79"
"Ma cave a vin";2;G;"";;""
"Ma cave a vin";2;H;"";;""
"Ma cave a vin";2;I;"";;""
"Ma cave a vin";2;J;"";;""
"Ma cave a vin";3;A;"Château Tournefeuille";2017;"eb172cf0-98ef-4217-a0bd-bd438c2c8090"
"Ma cave a vin";3;B;"Richebon Pauillac ";2016;"b7d45eab-4007-4ae2-9a90-df00de72324a"
"Ma cave a vin";3;C;"Patrimonio Mulinu Biancu";2022;"6056be7f-f4be-4f24-b0e5-fe2131858b66"
"Ma cave a vin";3;D;"Clos Manou";2015;"d556614c-a131-41d0-8285-86a7ce8be167"
"Ma cave a vin";3;E;"Gigondas La Cave Beaumes de Venise Les Dentelles en Armoiries";2022;"358accc6-fe0e-43b8-9079-1678cb2f413b"
"Ma cave a vin";3;F;"Massif D'Uchaux";2021;"1dd64cff-9c6d-446d-aa79-8a6fbd5b9f50"
"Ma cave a vin";3;G;"";;""
"Ma cave a vin";3;H;"";;""
"Ma cave a vin";3;I;"";;""
"Ma cave a vin";3;J;"";;""
"Ma cave a vin";4;A;"Chateau Majoureau Les Vignes Du Paradis";2022;"d1fd6634-05db-41f3-bfdc-31be65f2fbe7"
"Ma cave a vin";4;B;"";;""
"Ma cave a vin";4;C;"Château Chamaille";2021;"90e24e4c-99c7-4ae3-9c17-39f43b9934d4"
"Ma cave a vin";4;D;"Cleebourg Pinot Noir Élevé En Barriques";2017;"2ecf2467-492c-47b4-84c7-4401d4235a5b"
"Ma cave a vin";4;E;"Château Grand Jour";2020;"51210923-d112-47d4-b3f5-f05356fac8e0"
"Ma cave a vin";4;F;"Chateau hoclet";2022;"790adab6-b687-4238-a6d1-382d6baf0542"
"Ma cave a vin";4;G;"";;""
"Ma cave a vin";4;H;"";;""
"Ma cave a vin";4;I;"";;""
"Ma cave a vin";4;J;"";;""
"Ma cave a vin";5;A;"Château Majoureau Hyppos Saint Macaire";2022;"05dab5bc-cb08-4586-a7c1-c4ab95824bab"
"Ma cave a vin";5;B;"Chantet Blanet Graves";2023;"db983863-d0d4-445b-ae5a-b21abc25dad9"
"Ma cave a vin";5;C;"Domaine Grand Bécassier Côtes du Rhône Vieilles Vignes";2021;"acf15700-4c90-4dc2-abe1-ab1fc40b2a04"
"Ma cave a vin";5;D;"";;""
"Ma cave a vin";5;E;"Chateau L'esprit De Lavalette";2020;"b6d073d3-a474-4d3e-bf3b-14d6076feb58"
"Ma cave a vin";5;F;"";;""
"Ma cave a vin";5;G;"";;""
"Ma cave a vin";5;H;"";;""
"Ma cave a vin";5;I;"";;""
"Ma cave a vin";5;J;"";;""
"Ma cave a vin";6;A;"";;""
"Ma cave a vin";6;B;"La part Des Biches";2023;"a9e58130-9b47-4a02-9f11-a38fb5a17e83"
"Ma cave a vin";6;C;"Pinot Noir Confrérie Saint Etienne";2019;"57ff5dec-6583-4626-a1b8-b99c4d0a5bfe"
"Ma cave a vin";6;D;"Pitchouline";2022;"31aa5abb-874f-4811-a65b-0daa86958157"
"Ma cave a vin";6;E;"Château Lestage";2020;"773701e8-14e0-4f9b-888c-44b3c1bfe359"
"Ma cave a vin";6;F;"Château Courac Côtes du Rhône Villages Laudun Éole";2023;"a2497c39-e041-47f9-b147-ebf8d18194ea"
"Ma cave a vin";6;G;"";;""
"Ma cave a vin";6;H;"";;""
"Ma cave a vin";6;I;"";;""
"Ma cave a vin";6;J;"";;""
"Ma cave a vin";7;A;"";;""
"Ma cave a vin";7;B;"";;""
"Ma cave a vin";7;C;"";;""
"Ma cave a vin";7;D;"Les Bleumes";2023;"06a65451-e986-468f-ab85-81347b0f6261"
"Ma cave a vin";7;E;"Domaine Du Grangeon Viognier";2024;"159424b6-2a7f-43d3-b3c1-977c03dac869"
"Ma cave a vin";7;F;"";;""
"Ma cave a vin";7;G;"";;""
"Ma cave a vin";7;H;"";;""
"Ma cave a vin";7;I;"";;""
"Ma cave a vin";7;J;"";;""
"Ma cave a vin";8;A;"Riccadonna Prosecco Extra Dry";;"8ee783d9-bd91-4493-b12e-f08aab9f9320"
"Ma cave a vin";8;B;"Prosecco Monetto";;"88714b4a-4ebb-4179-99e6-21a4930fba57"
"Ma cave a vin";8;C;"Domaine Preignes Le Neuf Coteaux de Béziers Prestige";2023;"a73dc9bb-f63b-4bb9-9a5b-b4f3a21b83e2"
"Ma cave a vin";8;D;"Chateau Majoureau Bordeaux Clairet";2023;"b1802eb7-0e93-4e54-a05a-5d4d3d3bff8f"
"Ma cave a vin";8;E;"Chateau Majoureau Bordeaux Clairet";2023;"b1802eb7-0e93-4e54-a05a-5d4d3d3bff8f"
"Ma cave a vin";8;F;"";;""
"Ma cave a vin";8;G;"";;""
"Ma cave a vin";8;H;"";;""
"Ma cave a vin";8;I;"";;""
"Ma cave a vin";8;J;"";;""
"Ma cave a vin";9;A;"Château Bellevue Pineau des Charentes Blanc";2016;"2a566892-9948-441b-a6d6-3f2b4d936906"
"Ma cave a vin";9;B;"Château Bellevue Pineau des Charentes Blanc";2016;"2a566892-9948-441b-a6d6-3f2b4d936906"
"Ma cave a vin";9;C;"Rieutort";2013;"372677af-a669-4055-8b83-f3c60dcc8290"
"Ma cave a vin";9;D;"";;""
"Ma cave a vin";9;E;"Pineau Bernard Jacob";;"9d144d62-de38-4e49-a5c5-7fdfbeac8bac"
"Ma cave a vin";9;F;"Boulaouane Rouge de Maroc";;"fcba73d1"
"Ma cave a vin";9;G;"Rhubarbe";;"3be5230e-1280-4f7d-9624-053c1db37086"
"Ma cave a vin";9;H;"";;""
"Ma cave a vin";9;I;"";;""
"Ma cave a vin";9;J;"";;""
"Ma cave a vin";10;A;"Graman Duchesse de Graman Premičres Côtes de Bordeaux";2012;"bc82a374"
"Ma cave a vin";10;B;"Cremant Alsace Confrérie Saint Etienne";2019;"58dd9fdd-904b-4351-a219-2a87b54a7ba8"
"Ma cave a vin";10;C;"";;""
"Ma cave a vin";10;D;"";;""
"Ma cave a vin";10;E;"Champagne Tsarine Cuvée Premium Brut";;"64c22108-4244-4a8b-a87e-f4c817965e23"
"Ma cave a vin";10;F;"Moscato Dezzani";;"db2d1ccd-826b-48df-9c11-d5dbcd30c215"
"Ma cave a vin";10;G;"";;""
"Ma cave a vin";10;H;"";;""
"Ma cave a vin";10;I;"";;""
"Ma cave a vin";10;J;"";;""
