"Nom du vin";"Millésime";"Couleur";"Stock";"Stock (en cave)";"Producteur";"Pays";"Région";"Appellation";"Cépages";"Format de bouteille";"Classement";"Cuvée";"Degré d'alcool";"Référence";"Tags";"Apogée";"T° de service";"Estimation";"Note";"Commentaires";"IdVin";"IdContact";"IdDocument";"IdDocumentCouverture"
"Chateau Majoureau Bordeaux Clairet";2023;"Rouge";2;2;"Delong";"France";"Bordeaux";"Bordeaux clairet";"";"Bouteille";"";"";;"";"";;;6;;"";"b1802eb7-0e93-4e54-a05a-5d4d3d3bff8f";"9fbb98fc-dd4e-4343-ae6b-12b852555239";"6f15dffd-7e29-4520-9f88-0cdfd3732907";""
"Chateau Majoureau Les Vignes Du Paradis";2022;"Rouge";1;1;"Delong";"France";"Bordeaux";"Bordeaux";"";"Bouteille";"";"";;"";"";;;13;;"";"d1fd6634-05db-41f3-bfdc-31be65f2fbe7";"9fbb98fc-dd4e-4343-ae6b-12b852555239";"ab0b0500-a41c-4c6e-8ca2-6042ec693642";"133844f0-e3e3-4a24-88ec-52fb8e967379"
"Chateau Roberperots Cubee Olivia";2020;"Rouge";1;1;"";"France";"Bordeaux";"Bordeaux Supérieur";"";"Bouteille";"";"";;"";"";;;7;;"";"d08b4ac7-f0da-4e4a-b941-0fcacba3ac79";"";"3d2fc6ce-ea6a-46be-8e7c-0092f0ddb0cc";"b832565d-f5ab-4356-aedd-9a6639f9daea"
"Cheval Quancard Cuvée Hortense Prestige";2019;"Blanc";0;0;"Cheval Quancard";"France";"Bordeaux";"Entre-deux-Mers";"Muscadelle, Sauvignon Blanc, Sémillon";"Bouteille";"";"";12,5;"";"";;8;;;"";"d2640e15-f2e9-4890-acd7-311f1935fb4e";"0769382f-797c-44fb-9a54-a72c73815b1d";"46431222-62ec-4bb4-8236-9d7cd58d2eb8";""
"Chinon La Closerie";;"";0;0;"";"France";"Vallée de la Loire";"Chinon";"";"Bouteille";"";"";;"";"";;;;;"";"58bb9c14-cbe3-4cd5-919c-533ec91eb086";"";"2adb95d7-ca88-49e9-9066-21e2e5a9448f";"c6f6f793-7049-4fa2-a836-d071ec191477"
"Château Bastian Réserve";2016;"Rouge";0;0;"Château Bastian";"France";"Bordeaux";"Bordeaux";"50% Merlot, 30% Cabernet Franc, 20% Cabernet Sauvignon";"Bouteille";"";"";13;"";"";;17;;;"";"2c90ee8d-370f-4926-b419-2fbc8b217e0f";"dc8644c8-3e6f-48fc-a350-e5ce9ad30880";"1a053a58-5d01-4d33-8de9-2a23fea2e884";""
"Château Bellevue Pineau des Charentes Blanc";2016;"Muté";2;2;"Château Bellevue";"France";"Sud-Ouest";"Pineau des Charentes";"Colombard, Ugni Blanc";"Bouteille";"";"";17;"";"";;8;;;"";"2a566892-9948-441b-a6d6-3f2b4d936906";"f7b29cf2-a4cd-4829-90dd-f4f5b4ea8466";"d999c312-ef44-471e-9449-ddb904e63dd2";""
"Château Bourdieu";2016;"Rouge";0;0;"Château Bourdieu";"France";"Bordeaux";"Côtes de Bordeaux Blaye";"80% Merlot, 20% Cabernet Sauvignon";"Bouteille";"";"";;"";"papa,anniv ludo,2021,";;;9;;"";"177de834-68c4-47f1-9276-f98c55e8d71d";"a256ec2a-3fa3-4304-8533-8341270c075e";"dde5e837-a0b1-458d-a4fa-f96fa44b4af3";""
"Château Calon-Ségur La Chapelle de Calon Saint-Estčphe";1998;"Rouge";1;1;"Château Calon-Ségur";"France";"Bordeaux";"Saint-Estčphe";"";"Bouteille";"";"";;"";"";;;;;"";"36acaa7a";"188b75af";"7ef12aa0";""
"Château Camplong Corbieres";2024;"Rouge";0;0;"";"France";"Languedoc-Roussillon";"Corbičres";"";"Bouteille";"";"";;"";"";;;9;;"";"fd8be288-9c86-47a1-a97b-f1ef4717ddd9";"";"b4aa1679-34a3-46d4-8a86-40d86667330e";""
"Château Chamaille";2021;"Rouge";1;1;"";"France";"Bordeaux";"";"";"Bouteille";"";"";;"";"";;;7;;"";"90e24e4c-99c7-4ae3-9c17-39f43b9934d4";"";"03cb5a94-0348-4ae5-b7fc-032b4145749b";""
"Château Chanteloiseau";;"Rouge";0;0;"Château Chanteloiseau";"France";"Bordeaux";"Graves";"Cabernet Franc, Cabernet Sauvignon, Merlot";"Bouteille";"";"";;"";"auchan,2022,";;16;;;"";"cf7aaa00-fb17-4953-9b6d-acefe4d60607";"d60e4f77-1803-49df-b23f-e4388e23009d";"015c354b-2afe-4052-950c-b9372de23ab0";"869e6318-83e9-480e-96a9-d59d371a193c"
"Château Courac Côtes du Rhône Villages Laudun Éole";2019;"Rouge";0;0;"Château Courac";"France";"Vallée du Rhône";"Côtes du Rhône Villages";"Grenache, Mourvčdre, Syrah";"Bouteille";"";"";14,5;"";"";;15;7;;"";"c37f4fa5-3d10-4ac1-8bd0-66b063cb9b96";"9f8a42bc-d92d-4a3e-bbc6-bce0458306ad";"a684679f-f2bd-4939-ab69-56f0a90dd979";""
"Château Courac Côtes du Rhône Villages Laudun Éole";2023;"Rouge";1;1;"Château Courac";"France";"Vallée du Rhône";"Côtes du Rhône Villages";"Grenache, Mourvčdre, Syrah";"Bouteille";"";"";15;"";"";;15;6;;"";"a2497c39-e041-47f9-b147-ebf8d18194ea";"9f8a42bc-d92d-4a3e-bbc6-bce0458306ad";"03fbf39f-b50b-45be-82dc-bc461b08a9c2";""
"Château Côtes de Bonde";2019;"Rouge";1;1;"Château Côtes de Bonde";"France";"Bordeaux";"Montagne-Saint-Émilion";"Cabernet Sauvignon, Merlot";"Bouteille";"";"";14;"";"";;16;14;;"";"845abedb-dbd1-44b3-8f72-bb8c0d70a127";"409fbd83-785a-4201-9b40-ce58f7e226bf";"bc035d43-35e9-4081-8166-3f5fec7ebaf6";""
"Château d'Artix Les Murailles";2018;"Rouge";0;0;"Domaine d'Artix ";"France";"Languedoc-Roussillon";"Minervois";"Carignan, Grenache, Syrah";"Bouteille";"";"";14,5;"";"";;17;7,5;;"";"588d5b40-8906-44e1-ab79-6a77d84232f1";"3507f6fa-0527-4ab7-be82-cebba49e4e63";"d9c8168d-aa16-4a6b-979a-aa4bd52c03c6";"17ef6abe-5a9e-4f83-8b49-2dfd1db56b1e"
"Château De Marsan";2021;"Rosé";1;1;"";"France";"Bordeaux";"Bordeaux clairet";"60% Merlot, 40% Cabernet Sauvignon";"Bouteille";"";"";13;"";"cora,foetz,2022,";;;;;"";"1e543a33-5584-4c2d-9732-0e44b1811e21";"";"33323a69-5f6a-41fd-a1e2-ec3fac408786";"e16fc8d1-5052-445b-89c9-b4d88af12cbf"
"Château de Saillans Cuvée S";2019;"Rouge";0;0;"Château de Saillans";"France";"Bordeaux";"Bordeaux";"Cabernet Franc, Cabernet Sauvignon, Merlot";"Bouteille";"";"";14;"";"";;12;5;;"";"263006de-31d4-45ed-89a1-ebe825df2da7";"c9fc256f-7ff6-4152-a88f-703ba61d4aba";"438de312-f4a9-4cb0-8db7-761ac2082ad0";""
"Château de Tigné Rosé d'Anjou";2022;"Rosé";0;0;"Château de Tigné Les Vins Gérard Depardieu";"France";"Vallée de la Loire";"Rosé d'Anjou";"70% Grolleau, 15% Grolleau gris, 15% Malbec";"Bouteille";"";"";11,5;"";"";;10;;;"";"c14bcd5d-f481-43c0-9f34-a7c3243c3695";"87d860cd-f839-4e88-86aa-3c60e3db5104";"dfc4e0cf-a9b6-42bb-9238-c9368b87d086";""
"Château du Bailly Monbazillac";1995;"Liquoreux";1;1;"Château du Bailly";"France";"Sud-Ouest";"Monbazillac";"";"Bouteille";"";"";;"";"";;;;;"";"7e1b6dbf";"e4092407";"862a8842";""
"Château du Vieux Puit";2015;"Rouge";0;0;"Château du Vieux Puit";"France";"Bordeaux";"Côtes de Bordeaux Blaye";"Cabernet Sauvignon, Malbec, Merlot, Petit Verdot";"Bouteille";"";"";;"";"";;;;;"";"7fafa333-8ce5-473e-a59b-9c75d8cf7fa9";"23d0cf7b-2c02-41bf-adb8-2844efcdd5c5";"ce17390a-6a05-479c-9837-f8994fb21ae1";"1c84a2a5-2c4d-4ec1-b902-cc239012470a"
"Château du Vieux Puit";2018;"Rouge";0;0;"Château du Vieux Puit";"France";"Bordeaux";"Côtes de Bordeaux Blaye";"Cabernet Sauvignon, Malbec, Merlot, Petit Verdot";"Bouteille";"";"";14;"";"cora,foetz,2022,";;16;;;"";"5484a9f3-7440-429b-b6e8-0942f0513045";"23d0cf7b-2c02-41bf-adb8-2844efcdd5c5";"db2f2e90-9f9c-4bd3-8de0-c76d8e3979d0";"78b17295-5b42-49c4-a3e8-446160292703"
"Château Edmond de la Fontaine Pinot Gris";2022;"Blanc";0;0;"Château Edmond de la Fontaine ";"Luxembourg";"Luxembourg";"Moselle Luxembourgeoise";"Pinot Gris";"Bouteille";"";"";12,5;"";"";;10;10;;"";"8c92e6e2-ec5e-48fa-91e8-5add386d6cbe";"7f68c12d-3e91-4dc6-bd0a-eeee4231a363";"22656e0b-4022-460f-9eb3-4a5b7117191a";""
"Château Grand Jour";2020;"Rouge";1;1;"Château Grand Jour";"France";"Bordeaux";"Bordeaux Supérieur";"";"Bouteille";"";"";14;"";"";;16;7;;"";"51210923-d112-47d4-b3f5-f05356fac8e0";"04699169-e481-4974-810e-118fe3e6c429";"96ed6b29-39f2-4a47-837d-98f5deb9fc03";""
"Château Jacques Noir Saint-Émilion";2015;"Rouge";0;0;"Château Jacques Noir";"France";"Bordeaux";"Saint-Émilion";"";"Bouteille";"";"";;"";"";;;;;"";"aff7f4d5";"98d4593a";"b9e50f16";""
"Château La Gasparde Côtes de Castillon";2007;"Rouge";0;0;"Château La Gasparde";"France";"";"";"";"Bouteille";"";"";;"";"";;;;;"";"facb7e02";"66db529c";"41a64fa4";""
"Château La Rougeante";2020;"Rouge";0;0;"Château La Rougeante";"France";"Languedoc-Roussillon";"Corbičres";"Carignan, Grenache, Mourvčdre, Syrah";"Bouteille";"";"";14,5;"";"";;16;;;"pas.bon , a tourné?";"295db87c-fd06-4fa5-8aeb-6769f04eddde";"850571c6-de29-4752-a26a-1d236edc1ed4";"1e7d76ec-f75b-4735-80cc-531b253169bf";""
"Château Le Roc";2022;"Rouge";0;0;"Château Le Roc";"France";"Bordeaux";"Bordeaux";"";"Bouteille";"";"";12;"";"";;16;7;;"";"43641bfc-c8de-4c52-9c0e-1c8d733e37c0";"86c337bf-ef29-4108-a239-8a49fe436b4c";"8faaf92a-1884-44d1-b0d6-3f4cf51bdc90";"97cf5cfc-fa2a-4ee6-a869-9dab19ea1aff"
"Château Lestage";2020;"Rouge";1;1;"Château Lestage";"France";"Bordeaux";"Montagne-Saint-Émilion";"Merlot";"Bouteille";"";"";14;"";"";;16;11;;"";"773701e8-14e0-4f9b-888c-44b3c1bfe359";"22444b20-d675-4bd7-a9e3-b3fcbf086b90";"d8575dc1-cd97-4493-8bf8-2ff87dcf3870";""
"Château Macquin Saint-Georges-Saint-Émilion";2015;"Rouge";0;0;"Château Macquin";"France";"Bordeaux";"Saint-Georges-Saint-Émilion";"";"Bouteille";"";"";;"";"";;;;;"";"4b9554ab";"320805ec";"82150a99";""
"Château Majoureau Hyppos Saint Macaire";2022;"Rouge";1;1;"Delong";"France";"Bordeaux";"Bordeaux";"";"Bouteille";"";"";;"";"";;;8;;"";"05dab5bc-cb08-4586-a7c1-c4ab95824bab";"9fbb98fc-dd4e-4343-ae6b-12b852555239";"415d82de-e585-400a-99ae-fb64ce6f1d15";""
"Château Mazails";2016;"Rouge";0;0;"Château Mazails";"France";"Bordeaux";"Médoc";"Cabernet Franc, Cabernet Sauvignon, Merlot";"Bouteille";"Cru Bourgeois";"";;"";"";;16;;;"";"a633c9ab-66d4-46d8-98ff-41a82c5066db";"5492e481-816a-4bb2-9de4-8350f3e9d350";"a489a700-9fa6-4831-9b77-f0ca56058719";""
"Château Merigot";2016;"Rouge";0;0;"Château Montfollet";"France";"Bordeaux";"Côtes de Bourg";"95% Merlot, 5% Malbec";"Bouteille";"";"";14,5;"";"";2019/2022;17;;;"";"a3914cd9-358a-4410-a409-dea79e0c007b";"4963dde1-4a66-48cc-99b9-1ddd99ee5329";"18064e89-2042-43dc-b17d-da59dc8514e1";""
"Château Merigot";2018;"Rouge";0;0;"Château Montfollet";"France";"Bordeaux";"Côtes de Bourg";"95% Merlot, 5% Malbec";"Bouteille";"";"";14,5;"";"papa,anniv ludo,2021,";;17;10;;"";"dcf5d5cb-459e-4db5-9d83-d478b781542b";"4963dde1-4a66-48cc-99b9-1ddd99ee5329";"b95bcaf2-700b-4aa8-bc66-b4f864eb5ff7";"53c7850f-104e-4163-b7ea-78d624ac823b"
"Château Moulin de Cabanieu";2018;"Rouge";0;0;"Château Moulin de Cabanieu";"France";"Bordeaux";"Médoc";"Cabernet Sauvignon, Merlot";"Bouteille";"";"";14,5;"";"";;16;6,5;;"";"5a8d9999-8759-4d02-b1aa-e2ccf07f642a";"42f05fd4-afb0-4632-8908-119a12908678";"1cd43cc5-51f8-4cef-9d7c-b255a6e6b8d1";""
"Château Pey La Tour Réserve Vieilles Vignes";2019;"Rouge";1;0;"Château Pey La Tour";"France";"Bordeaux";"Bordeaux Supérieur";"90% Merlot, 5% Cabernet Sauvignon, 3% Cabernet Franc, 2% Petit Verdot";"Bouteille";"";"";14,5;"";"";;16;;;"";"307cbe7e-1e99-4d35-b102-990cd2b337aa";"29419b29-1974-4c57-aa8e-1058387a3594";"bcef95aa-d057-49a1-8770-a6de9009d8c1";""
"Château Peyron Bouché";2019;"Rouge";0;0;"Domaine de la Grave";"France";"Bordeaux";"Graves";"";"Bouteille";"";"";13;"";"";;16;;;"";"7441a1b7-fcb1-4fd5-97d5-70a0f19615c7";"1d24ea56-2aee-4b2c-8c72-153bd556b710";"c4abd95a-c831-4253-9187-1d36866b6e27";""
"Château Peyron Bouché";2020;"Rouge";0;0;"Domaine de la Grave";"France";"Bordeaux";"Graves";"";"Bouteille";"";"";;"";"";;16;;;"";"fb2a51fa-ba98-4856-9029-d70ebfc28454";"1d24ea56-2aee-4b2c-8c72-153bd556b710";"c5c82ded-a8ae-48cc-b4ea-ab09c01115ac";"4bd47dd0-c0dc-4589-b2f9-804d40bf46f8"
"Château Pradeau Mazeau Bordeaux";1999;"Rouge";1;1;"Château Pradeau Mazeau";"France";"Bordeaux";"Bordeaux";"";"Bouteille";"";"";;"";"";;;;;"";"827fb118";"19adde97";"8a179b6c-19dc-4204-8c64-b405246a1bc5";""
"Château Reillanne Grande Réserve";2021;"Rosé";0;0;"Château Reillanne";"France";"Provence";"Côtes de Provence";"";"Bouteille";"";"";12,5;"";"";;8;;;"";"5531f162-57b7-471d-826c-50ee844004d1";"8efaddc9-97c8-4439-b7a4-5af6a669af52";"f5f9a7db-86d9-4d0e-b579-dbecfd0f5c2f";""
"Château Rigaud Vieilles Vignes";2020;"Rouge";0;0;"Domaines Taďx";"France";"Bordeaux";"Puisseguin-Saint-Émilion";"Cabernet Franc, Merlot";"Bouteille";"";"";14;"";"";;16;;;"";"d3ab3b34-2b64-401c-afec-1282b589e760";"c397ba51-6390-4e94-97dd-085c70cf57a9";"ba61c302-e602-4493-916c-25805f453968";""
"Château Tour De Cluchon - Graves";2020;"Rouge";0;0;"";"France";"Bordeaux";"Graves";"";"Bouteille";"";"";;"";"";;;8;;"";"3a0be18e-36d8-4e82-9f66-4d9119ffdd2d";"";"1325832e-33b8-49ce-aee6-983f05d3cc05";"9d92fc27-d520-4009-a11a-f0f900bee45c"
"Château Tour des Gendres Cuvée des Conti";2007;"Blanc";1;1;"Château Tour des Gendres";"France";"Sud-Ouest";"Bergerac sec";"";"Bouteille";"";"";;"";"";;;;;"";"d214f7eb";"bc0aa26f";"eed85f15";""
"Château Tournefeuille";2017;"Rouge";1;1;"Château Tournefeuille";"France";"Bordeaux";"Lalande-de-Pomerol";"Cabernet Franc, Merlot";"Bouteille";"";"";13,5;"";"paul,anniv ludo,2021,";;16;;;"";"eb172cf0-98ef-4217-a0bd-bd438c2c8090";"9fc9c2f5-ce6d-457e-a43c-5f58707a1c91";"1dee32bd-acc5-4022-afda-5ea19321a077";""
"Château Viella Tradition";2019;"Rouge";0;0;"Château Viella";"France";"Sud-Ouest";"Madiran";"60% Tannat, 40% Cabernet Franc";"Bouteille";"";"";14;"";"";;16;;;"";"b87a2211-f8b3-495d-b958-d0c011e33c68";"47084d77-39f4-43a2-bd81-da59def9a0f0";"5bc38e36-f9d4-4c8e-8f38-b8417c0f3258";"b310063f-a663-4174-a2de-3a4484b40cbc"
"Château Vieux Moulin";2015;"Rouge";0;0;"Château Vieux Moulin";"France";"Bordeaux";"Listrac-Médoc";"65% Merlot, 28% Cabernet Sauvignon, 7% Petit Verdot";"Bouteille";"Cru Bourgeois";"";13,5;"";"papa,anniv ludo,2021,";;16;14;;"";"8eb33615-b7ec-4561-89b7-c489d7bd89d9";"5ea27cc1-b5e3-4eda-aa24-b2ba06faffaa";"7b57b802-5571-4376-b904-203cf6bdd4dc";""
"Château Yveline";2019;"Rouge";0;0;"Château Yveline";"France";"Bordeaux";"Lalande-de-Pomerol";"Merlot";"Bouteille";"";"";15;"";"";;16;9;;"";"9864e589-4391-4d77-8b04-0f1a33166e76";"9a594c19-2a8c-4eb4-969e-ab628da2c2b8";"4f1a27d8-d506-453e-a0f8-dcbeb72f6e27";""
"Cidre Finis Terrae";;"";0;0;"Cidrerie De Rozavern";"France";"Presqu'île de Crozon";"";"";"Bouteille";"";"";;"";"";;;;;"";"e84197f7-09b1-42a2-a3fb-2ac432d70239";"fe6f5ba4-1234-480f-b94d-e49dbdb124d5";"2d17b3e3-04d3-45cd-9cdb-1a78705412dd";"c9811f41-ec1d-43a8-afd8-c03a173029c0"
"Cleebourg Auxerrois";2018;"Blanc";0;0;"";"France";"Alsace";"";"";"";"";"";;"";"";;;;;"";"7695cea4-8f38-4d75-a26e-74e834673c55";"";"493bcb1a-daf5-466e-a10d-b5cb4a721481";""
"Cleebourg Brandhof Pinot Gris";2018;"Blanc";0;0;"";"France";"Alsace";"";"";"";"";"";;"";"";;;11;;"";"8e056789-eabd-47c8-afb3-4b4c799a5357";"";"642f93c9-1906-4cd7-8243-7601f64846e2";""
"Cleebourg Cremant Rose";;"Effervescent";0;0;"";"France";"Alsace";"";"";"";"";"";;"";"";;;;;"";"939058da-c4fc-4f69-8c11-94d60da67740";"";"da6bf29f-6a0e-4a30-9b2d-cf71cd7ec7dd";""
"Cleebourg Keimberg";2019;"Blanc";0;0;"";"France";"Alsace";"";"";"";"";"";;"";"";;;;;"";"82f68f8b-5b63-4389-8165-b4b88c5f5ca6";"";"ce42ca90-07bc-447e-90ec-cddc28c858cb";""
"Cleebourg Pinot Noir Élevé En Barriques";2017;"Rouge";1;1;"";"France";"Alsace";"";"";"";"";"";;"";"";;;9;;"";"2ecf2467-492c-47b4-84c7-4401d4235a5b";"";"445e705f-f8d4-4d6a-af3d-fa19aa420773";""
"Clos Manou";2015;"Rouge";1;1;"Clos Manou";"France";"Bordeaux";"Médoc";"68% Cabernet Sauvignon, 23% Merlot, 8% Petit Verdot, 1% Cabernet Franc";"Bouteille";"";"";13,5;"";"";;16;;;"";"d556614c-a131-41d0-8285-86a7ce8be167";"6ae8e94a-07c9-4dab-8339-32613c422986";"37aacd28-d3ea-4ca3-9753-1b52054df954";""
"Cocktail Brut Lolea";;"";0;0;"";"";"";"";"";"";"";"";;"";"";;;;;"";"1e7fbd36-1452-4a7e-81ec-e8ad7fc5a6fb";"";"d2e088d7-9e1a-4abb-998d-ecc6eff852a6";""
"Concha Y Toro Casillero del Diablo Cabernet Sauvignon";2020;"Rouge";0;0;"Concha Y Toro";"Chili";"Central Valley";"";"Cabernet Sauvignon";"Bouteille";"";"";13,5;"";"";;16;8,5;;"";"1a8a76b0-dd35-4fdb-80a2-7ad85be8dd9a";"2a0ba2e7-3496-4d9f-8832-84c870a8d5a5";"16d9a6df-3e23-4db4-a6d4-10dcb20dc705";""
"Conscience";2021;"Rosé";0;0;"";"France";"Provence";"Côtes de Provence";"";"Bouteille";"";"";;"";"";;;;;"";"2b75420c-e6b9-465f-bb7d-8e81a2129105";"";"95f320fe-1b6a-4388-aba6-5d48c2560ad3";"673cdc09-9f61-4884-8729-26740af0d878"
"Conscience ";;"Rosé";0;0;"";"France";"Provence";"Côtes de Provence";"";"Bouteille";"";"";;"";"";;;;;"";"0c0ec70b-59d6-4935-8623-3cffcd026657";"";"8a12ef50-fa92-40b6-9ea7-a0e5870baf08";"c949c117-13b7-423d-af81-3298863ccb5c"
"Corbičres Via Nostrum";2022;"Rouge";0;0;"";"France";"Languedoc-Roussillon";"Corbičres";"";"Bouteille";"";"";;"";"";;;7,5;;"";"3526184a-dbda-47ac-8c48-074c2f7fb4bd";"";"749c197d-0d25-4308-a5ee-ff12febf9a8c";"b3d886ff-e15e-425a-9abd-3d968f596a73"
"Cos Du roy";2023;"Rouge";0;0;"";"France";"Bordeaux";"Bordeaux";"";"Bouteille";"";"";;"";"";;;;;"";"bafeab65-4f67-4aa0-9e87-b8a0e50b2cc7";"";"8870f708-a7b9-4357-a518-ece4aaf6104f";""
"Costeval";2020;"Rosé";0;0;"";"France";"Provence";"Coteaux d'Aix-en-Provence";"";"Bouteille";"";"";;"";"cora,foetz,2022,";;;;;"";"b9177b07-9cfb-4060-8f70-c4a5d7f5bb4d";"";"";"ce88fbe0-28fd-4dab-a3b9-d5717e3978f2"
"Cotes De Provence Domaine De L'allamande";2023;"Rosé";0;0;"";"France";"Provence";"Côtes de Provence";"";"Bouteille";"";"";;"";"";;;;;"";"9bd5eff4-16a1-4220-9468-83072c478321";"";"9ea1ac52-6c0c-4cee-9bd3-4307ec7d319c";""
"Cotes De Provence Sainte Victoire Pierre Chanau";2022;"Rosé";0;0;"";"France";"Provence";"Côtes de Provence";"";"Bouteille";"";"";;"";"";;;;;"";"ddc5f895-dfe2-4198-b5ff-2c03c7133bb6";"";"80805cfc-0988-49bb-81cb-7e2eab75e16c";""
"Cremant Alsace Confrérie Saint Etienne";2019;"Effervescent";1;1;"";"France";"Alsace";"Crémant d'Alsace";"";"Bouteille";"";"";;"";"";;;9;;"";"58dd9fdd-904b-4351-a219-2a87b54a7ba8";"";"27335bb7-647e-45ff-bfd9-46b923bee819";"94a54cfa-457c-4f64-8914-6b5c745ee2f8"
"Cremant De Bourgogne Moingeon";;"Rouge";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;;;"";"fcdbd4d4-f705-43e6-853c-1749ae6c1aa4";"";"e68391db-58db-4bda-9189-cc6cce54571c";"d7751b8f-bad4-47c4-95a6-515e67aacce9"
